Name;Comment;Type;DM;Ash;OM;Fat;CP;Starch;Sugars;Dig. OM S;Dig. OM G;Dig. fat S;Dig. fat G;Dig. CP S;Dig. CP G;GE;DE S;DE G;ME S;ME G;NE S;NE G;Ca;P;Na;K;Mg;Cl;S;Cu;Zn;Mn;Fe;Se;Co;Mo;I;Dig. P (pellets);Dig. P (mash);Phytate P;Endogenous phytase act.;Microbial phytase act.;C6-10:0;C12:0;C14:0;C16:0;C16:1;C18:0;C18:1;C18:2;C18:3;C18:4;C20:0;C20:1;C20:4;C20:5;C22:0;C22:1;C22:5;C22:6;C24:0;FA/lipid;CF;dig. CF. S;dig. CF G;Residue;Dig. residue S;Dig. residue G;NDF;ADF;ADL;TDF;Lys;Met;Cys;Trp;Thr;Phe;Tyr;Leu;Ile;Val;His;Arg;Dig. N;Dig. Lys;Dig. Met;Dig. Cys;Dig. Trp;Dig. Thr;Dig. Phe;Dig. Tyr;Dig. Leu;Dig. Ile;Dig. Val;Dig. His;Dig. Arg;CC;AC
FeedAStd;;11;875.6;43.4;832.2;15.1;170;462.6;37.1;735.9;716;3.2;3.2;146;139.2;15.91;13.66;13.29;13.13;12.79;9.7;9.5;6.5;4.31;1.5;6.48;1.6;3.82;2.44;6.21;32.7;29.17;92.31;0.19;0.06;0.93;0.06;2.3;2.05;15.5;510;1211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.9;24.7;21;105.6;62.2;52.9;149.3;56.7;18.9;137;11.21;3.34;3.42;2.25;6.22;7.39;5;11.4;6.37;8.22;4.05;9.71;145.29;9.92;3.03;2.92;1.98;6.65;6.58;4.4;9.92;5.47;6.94;3.53;8.69;0.54684224;0.009583861
FeedBStd;;11;870.6;42.3;828.3;21.9;100;516.9;25;712.8;694.5;8.5;8.4;82.7;75.6;15.65;13.02;12.66;12.69;12.36;9.69;9.5;7;3.72;1.5;4.96;1.34;3.39;1.3;7.61;30.39;24.49;109.17;0.13;0.09;0.51;0.08;1.8;2.15;41.9;571;884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40.4;19.6;16.9;124.2;60.2;51.8;174.9;49.8;11;145.6;4.89;1.7;2.24;1.14;3.34;4.56;2.88;7.37;3.44;4.81;2.32;4.96;81.37;4.06;1.46;1.9;0.92;2.76;3.92;2.46;6.32;2.85;3.91;1.94;4.23;0.44906751;0.009576874
GrowingStd;;11;876.5;42.3;834.2;14.7;160;477.3;36.3;734.7;712.3;2.9;2.8;136.1;127.9;15.88;13.58;13.15;13.09;12.7;9.72;9.5;6.5;4.45;1.5;5.84;1.68;3.88;2.41;5.94;33.27;30.33;84.83;0.21;0.04;0.78;0.06;2.2;1.98;11.5;532;1099;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44.6;25.1;20.7;101.3;56.9;47.1;153.3;60.4;22.6;136.9;10.24;3.01;3.33;2.05;5.61;6.74;4.5;10.42;5.82;7.56;3.76;9.02;136.13;9.02;2.71;2.84;1.8;6.04;5.99;3.93;9.02;4.96;6.31;3.25;8.02;0.49868264;0.009678667
FinishingStd;;11;875.6;40.6;835;14.8;150;487.4;34.8;732.3;710;2.9;2.9;126.5;118.1;15.85;13.49;13.06;13.02;12.63;9.72;9.5;6;4.4;1.5;5.61;1.65;3.52;2.24;6.21;33.17;29.42;89.08;0.2;0.04;0.72;0.06;2;1.84;14.2;541;882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45.5;24.8;20.6;102.5;55.9;46.3;157;60.9;22.4;137.6;8.08;2.59;3.22;1.75;4.37;6.44;4.23;9.88;5.51;6.89;3.56;8.57;126.69;6.9;2.28;2.74;1.51;4.69;5.71;3.68;8.53;4.67;5.67;3.06;7.59;0.47021462;0.009601737
